id,parent_id,name_en,name_vi,slug,description,display_order,status
CAT001,,Fundamentals,Cơ bản,fundamentals,"Core concepts, basic terminology, and essential knowledge every player must understand.",1,active
CAT001-01,CAT001,Game Types,Các loại trò chơi,fundamentals-game-types,"Different billiards game variations including 8-ball, 9-ball, straight pool, and more.",1,active
CAT001-02,CAT001,Basic Concepts,Khái niệm cơ bản,fundamentals-basic-concepts,"Foundational terminology like frame, inning, foul, and pocket.",2,active
CAT001-03,CAT001,Player Roles,Vai trò người chơi,fundamentals-player-roles,"Definitions of player positions and responsibilities during gameplay.",3,active
CAT001-04,CAT001,Equipment Basics,Cơ bản về dụng cụ,fundamentals-equipment-basics,"Introduction to essential equipment components and their functions.",4,active
CAT002,,Equipment,Dụng cụ,equipment,"Comprehensive coverage of all billiards equipment including cues, balls, tables, and accessories.",2,active
CAT002-01,CAT002,Cues,Gậy billiard,equipment-cues,"Pool cues, snooker cues, and specialty sticks with specifications.",1,active
CAT002-01-01,CAT002-01,Pool Cues,Gậy pool,equipment-cues-pool,"Two-piece and one-piece cues designed for pocket billiards games.",1,active
CAT002-01-02,CAT002-01,Snooker Cues,Gậy snooker,equipment-cues-snooker,"Specialized cues for snooker with specific weight and length requirements.",2,active
CAT002-01-03,CAT002-01,Cue Components,Bộ phận gậy,equipment-cues-components,"Individual parts of a cue including shaft, butt, tip, and ferrule.",3,active
CAT002-01-04,CAT002-01,Cue Materials,Chất liệu gậy,equipment-cues-materials,"Wood types, composites, and materials used in cue construction.",4,active
CAT002-02,CAT002,Balls,Bóng,equipment-balls,"Billiard balls including object balls, cue balls, and complete ball sets.",2,active
CAT002-02-01,CAT002-02,Ball Sets,Bộ bóng,equipment-balls-sets,"Complete ball sets for different game types like 8-ball, 9-ball, and snooker.",1,active
CAT002-02-02,CAT002-02,Ball Types,Loại bóng,equipment-balls-types,"Cue balls, solid balls, striped balls, and specialty balls.",2,active
CAT002-02-03,CAT002-02,Ball Care,Bảo quản bóng,equipment-balls-care,"Cleaning, storage, and maintenance of billiard balls.",3,active
CAT002-03,CAT002,Tables,Bàn billiard,equipment-tables,"Billiard tables from home models to professional tournament specifications.",3,active
CAT002-03-01,CAT002-03,Table Components,Bộ phận bàn,equipment-tables-components,"Slate, cushions, felt, pockets, and frame components.",1,active
CAT002-03-02,CAT002-03,Table Sizes,Kích thước bàn,equipment-tables-sizes,"Standard table sizes from 7-foot home tables to 12-foot tournament specifications.",2,active
CAT002-03-03,CAT002-03,Table Brands,Thương hiệu bàn,equipment-tables-brands,"Major table manufacturers and their product lines.",3,active
CAT002-04,CAT002,Accessories,Phụ kiện,equipment-accessories,"Essential and optional accessories including chalk, racks, gloves, and bridges.",4,active
CAT002-04-01,CAT002-04,Chalk & Tips,Phấn và mũi gậy,equipment-accessories-chalk-tips,"Billiard chalk, cue tips, and tip maintenance tools.",1,active
CAT002-04-02,CAT002-04,Racks & Triangle,Dàn bóng,equipment-accessories-racks,"Ball racks, triangles, and mechanical racking devices.",2,active
CAT002-04-03,CAT002-04,Training Aids,Dụng cụ tập luyện,equipment-accessories-training-aids,"Alignment tools, aim trainers, and practice equipment.",3,active
CAT003,,Techniques,Kỹ thuật,techniques,"Shot-making techniques, stance, grip, and mechanical skills required for playing pool.",3,active
CAT003-01,CAT003,Stance & Grip,Tư thế & Cách cầm gậy,techniques-stance-grip,"Proper body positioning, stance types, and cue grip techniques.",1,active
CAT003-01-01,CAT003-01,Stance Types,Các kiểu tư thế,techniques-stance-types,"Different stance styles including parallel, close, and open stances.",1,active
CAT003-01-02,CAT003-01,Grip Techniques,Kỹ thuật cầm gậy,techniques-grip-techniques,"How to hold the cue with proper pressure and positioning.",2,active
CAT003-02,CAT003,Basic Shots,Các cú đánh cơ bản,techniques-basic-shots,"Fundamental shots including center ball, follow, and draw.",2,active
CAT003-02-01,CAT003-02,Center Ball Shot,Cú đánh bóng trắng giữa,techniques-basic-center-ball,"Hitting the cue ball in the center for a straight-ahead shot.",1,active
CAT003-02-02,CAT003-02,Follow Shot,Cú đánh xoáy,techniques-basic-follow,"Topspin applied to make the cue ball travel forward after contact.",2,active
CAT003-02-03,CAT003-02,Draw Shot,Cú kéo,techniques-basic-draw,"Backspin applied to bring the cue ball back after contact.",3,active
CAT003-03,CAT003,Cut Shots,Cú cắt,techniques-cut-shots,"Angled shots where the cue ball contacts the object ball at an angle.",3,active
CAT003-03-01,CAT003-03,Inside Cut,Cú cắt trong,techniques-cut-inside,"Cut shot where the cue ball contacts the inner side of the object ball.",1,active
CAT003-03-02,CAT003-03,Outside Cut,Cú cắt ngoài,techniques-cut-outside,"Cut shot where the cue ball contacts the outer side of the object ball.",2,active
CAT003-04,CAT003,English & Spin,Xoáy ngang,techniques-english-spin,"Side spin application including left english, right english, and combinations.",4,active
CAT003-04-01,CAT003-04,Left English,Xoáy trái,techniques-english-left,"Applying spin on the left side of the cue ball.",1,active
CAT003-04-02,CAT003-04,Right English,Xoáy phải,techniques-english-right,"Applying spin on the right side of the cue ball.",2,active
CAT003-05,CAT003,Special Shots,Cú đánh đặc biệt,techniques-special-shots,"Advanced shots including jump shots, massé, and trick shots.",5,active
CAT003-05-01,CAT003-05,Jump Shots,Cú nhảy,techniques-special-jump,"Shots that make the ball jump over obstacles.",1,active
CAT003-05-02,CAT003-05,Massé Shot,Cú massé,techniques-special-masse,"A curved shot executed with extreme spin and elevated cue.",2,active
CAT003-06,CAT003,Aiming,Ngắm bắn,techniques-aiming,"Aiming techniques and contact point visualization.",6,active
CAT003-06-01,CAT003-06,Ghost Ball,Bóng ma,techniques-aiming-ghost-ball,"Aiming method using a visualized ghost ball position.",1,active
CAT003-06-02,CAT003-06,Contact Points,Điểm chạm,techniques-aiming-contact-points,"Identifying correct contact points for different shots.",2,active
CAT004,,Strategy,Chiến thuật,strategy,"Game planning, tactical decision-making, and position play strategies.",4,active
CAT004-01,CAT004,Shot Selection,Chọn cú đánh,strategy-shot-selection,"Evaluating and choosing the best shot in any given situation.",1,active
CAT004-02,CAT004,Position Play,Kiểm soát vị trí,strategy-position-play,"Planning and executing cue ball position for the next shot.",2,active
CAT004-03,CAT004,Defense,Phòng thủ,strategy-defense,"Safety play, leaving difficult positions, and defensive tactics.",3,active
CAT004-04,CAT004,Offense,Tấn công,strategy-offense,"Aggressive play, running racks, and offensive strategies.",4,active
