id,english_name,vietnamese_name,primary_category,secondary_category
TERM-000001,Cue Ball,Bóng Cơ,Fundamentals,Equipment
TERM-000002,Object Ball,Bóng Mục Tiêu,Fundamentals,Equipment
TERM-000003,8-Ball,Bóng 8,Disciplines,Eight Ball
TERM-000004,9-Ball,Bóng 9,Disciplines,Nine Ball
TERM-000005,Straight Pool,Pool Thẳng,Disciplines,Straight Pool
TERM-000006,Three Cushion Billiards,Bi-a 3 Băng,Disciplines,Three Cushion
TERM-000007,Stop Shot,Đường Dừng,Pool Shots,Basic Shots
TERM-000008,Follow Shot,Đường Đi Theo,Pool Shots,Basic Shots
TERM-000009,Draw Shot,Đường Cắt Đít,Pool Shots,Basic Shots
TERM-000010,Backspin,Lực Ngược,Pool Shots,Spin Shots
TERM-000011,Topspin,Lực Xoáy Đi Tới,Pool Shots,Spin Shots
TERM-000012,English,Xoáy Ngang,Pool Shots,Spin Shots
TERM-000013,Masse,Massé,Pool Shots,Spin Shots
TERM-000014,Jump Shot,Đường Nhảy,Pool Shots,Spin Shots
TERM-000015,Cut Shot,Đường Cắt,Pool Shots,Cut Shots
TERM-000016,Thin Cut,Cắt Mỏng,Pool Shots,Cut Shots
TERM-000017,Bank Shot,Đường Đánh Băng,Pool Shots,Cut Shots
TERM-000018,Straight Cut,Cắt Thẳng,Pool Shots,Cut Shots
TERM-000019,Kick Shot,Đường Đá Bóng,Pool Shots,Cut Shots
TERM-000020,Safety Play,Đánh An Toàn,Safety Play,Defensive Shots
TERM-000021,Snooker,Kẹt Bóng,Safety Play,Snookers
TERM-000022,Foul,Lỗi,Safety Play,Fouls
TERM-000023,Scratch,Gạt Bóng,Safety Play,Fouls
TERM-000024,Push Shot,Đẩy Bóng,Safety Play,Fouls
TERM-000025,Double Hit,Chạm Đúp,Safety Play,Fouls
TERM-000026,Cue Stick,Cơ Bi-a,Fundamentals,Equipment
TERM-000027,Pool Cue,Cơ Pool,Fundamentals,Equipment
TERM-000028,Snooker Cue,Cơ Snooker,Fundamentals,Equipment
TERM-000029,Carom Cue,Cơ Carom,Fundamentals,Equipment
TERM-000030,Jump Cue,Cơ Nhảy,Fundamentals,Equipment
TERM-000031,Break Cue,Cơ Phá Bàn,Fundamentals,Equipment
TERM-000032,Cue Tip,Đầu Cơ,Fundamentals,Equipment
TERM-000033,Leather Tip,Đầu Da,Fundamentals,Equipment
TERM-000034,Chalk,Phấn,Fundamentals,Equipment
TERM-000035,Blue Chalk,Phấn Xanh,Fundamentals,Equipment
TERM-000036,Triangle Rack,Khung Đặt Bóng,Fundamentals,Equipment
TERM-000037,Rack,Bộ Bóng Xếp,Fundamentals,Equipment
TERM-000038,Break,Break Đánh Bóng,Pool Shots,Advanced Shots
TERM-000039,Opening Break,Phá Bàn Mở Đầu,Pool Shots,Advanced Shots
TERM-000040,Table,Bàn Bi-a,Fundamentals,Equipment
TERM-000041,Billiard Table,Bàn Bi-a,Fundamentals,Equipment
TERM-000042,Pool Table,Bàn Pool,Fundamentals,Equipment
TERM-000043,Cushion,Băng,Fundamentals,Equipment
TERM-000044,Rail,Rail,Fundamentals,Equipment
TERM-000045,Pocket,Túi,Fundamentals,Equipment
TERM-000046,Corner Pocket,Túi Góc,Fundamentals,Equipment
TERM-000047,Side Pocket,Túi Bên,Fundamentals,Equipment
TERM-000048,Pocket Opening,Miệng Túi,Fundamentals,Equipment
TERM-000049,Pocket Shelf,Giá Túi,Fundamentals,Equipment
TERM-000050,Slate,Phiến Đá,Fundamentals,Equipment
TERM-000051,Felt,Nỉ,Fundamentals,Equipment
TERM-000052,Cloth,Nỉ Bàn,Fundamentals,Equipment
TERM-000053,Pocket Felt,Nỉ Túi,Fundamentals,Equipment
TERM-000054,Spot,Dấu,Fundamentals,Equipment
TERM-000055,Head String,Vạch Đầu,Fundamentals,Equipment
TERM-000056,Foot Spot,Điểm Chân,Fundamentals,Equipment
TERM-000057,Head Spot,Điểm Đầu,Fundamentals,Equipment
TERM-000058,Center Spot,Điểm Giữa,Fundamentals,Equipment
TERM-000059,Baulk Line,Vạch Baulk,Fundamentals,Equipment
TERM-000060,Baulk Line String,Vạch Ngang Baulk,Fundamentals,Equipment
TERM-000061,Center String,Đường Giữa,Fundamentals,Equipment
TERM-000062,Bridge,Tay Giá Đỡ,Fundamentals,Stance
TERM-000063,Open Bridge,Cầu Mở,Fundamentals,Stance
TERM-000064,Rail Bridge,Cầu Dựa Rail,Fundamentals,Stance
TERM-000065,Mechanical Bridge,Cầu Cơ Khí,Fundamentals,Stance
TERM-000066,Long Bridge,Cầu Dài,Fundamentals,Stance
TERM-000067,Short Bridge,Cầu Ngắn,Fundamentals,Stance
TERM-000068,Stance,Tư Thế,Fundamentals,Stance
TERM-000069,Basic Stance,Tư Thế Cơ Bản,Fundamentals,Stance
TERM-000070,Feet Position,Vị Trí Chân,Fundamentals,Stance
TERM-000071,Body Alignment,Căn Chỉnh Cơ Thể,Fundamentals,Stance
TERM-000072,Head Position,Vị Trí Đầu,Fundamentals,Stance
TERM-000073,Balance,Cân Bằng,Fundamentals,Stance
TERM-000074,Grip,Cách Cầm Cơ,Fundamentals,Stance
TERM-000075,Loose Grip,Cầm Lỏng,Fundamentals,Stance
TERM-000076,Tight Grip,Cầm Chặt,Fundamentals,Stance
TERM-000077,Pulling Stroke,Động Tác Kéo,Fundamentals,Aiming
TERM-000078,Pushing Stroke,Động Tác Đẩy,Fundamentals,Aiming
TERM-000079,Follow Through,Theo Đuổi,Fundamentals,Aiming
TERM-000080,Aiming,Ngắm Đích,Fundamentals,Aiming
TERM-000031,Contact Point,Điểm Chạm,Fundamentals,Aiming
TERM-000082,Cue Ball Control,Kiểm Soát Bóng Cơ,Fundamentals,Aiming
TERM-000083,Object Ball Alignment,Căn Chỉnh Bóng Mục Tiêu,Fundamentals,Aiming
TERM-000084,Ghost Ball,Quả Bóng Ảo,Fundamentals,Aiming
TERM-000085,Line of Aim,Đường Ngắm,Fundamentals,Aiming
TERM-000086,Shot Line,Đường Đánh,Fundamentals,Aiming
TERM-000087,Target Line,Đường Mục Tiêu,Fundamentals,Aiming
TERM-000088,Feather,Fer,Fundamentals,Aiming
TERM-000089,Center Ball,Giữa Bóng,Fundamentals,Aiming
TERM-000090,Half Ball,Bán Bóng,Fundamentals,Aiming
